IATTC Vessel number,Register Status,Vessel,Flag,Gear,Fish hold volume (m3),Confirmation date,Carrying capacity (t),Port of registration,Registration number,IMO number,Call sign,Length (m),Length type,Beam (m),Depth (m),Gross tonnage (t),Engine power (HP),Year built,Shipyard,Company name,Business Address,Previous name,Previous flag,Notes,Image available?,Last modification
14639,,Sagakatsu Maru No. 63,Japan,Pole and line,78,,,Kuroshio-Cho,KO1-875,8952390,JL6401,29.7,Type of Length Unknown,5.69,2.48,122,996,1998,,Saga Katsu Maru Incorporated,"765 Saga, Kuroshio-Cho, Hata-Gun, Kochi, Japan",,,   ,No,29 Dec 2015
13602,,Sagamyojin Maru No. 83,Japan,Pole and line,88,,,Kuroshio-Cho,KO1-1083,9176890,JH3456,33.2,Length Registered,5.89,2.7,149,,1997,,"Myojin Suisan Company, Ltd.","763 Saga, Kuroshio-Cho, Hata-Gun, Kochi, Japan",Sakichi Maru - Change to Sagamyojin Maru No. 83 notified on 28 Oct 2009 (recorded on 28 Oct 2009) - Flag at time of change: Japan,,   ,No,29 Dec 2015
17388,,Sagamyojin Maru No. 88,Japan,Pole and line,86,,,Kochi,KO1-1088,9851892,7KCP,33.5,Length Registered,6.25,3.3,147,3000,2019,,,"1-4-30 Chiyori-Cho, Hatagun, Kochi, Japan",,,   ,Yes,27 Mar 2019
13603,,Sanko Maru,Japan,Pole and line,84,,,Kihoku-Cho,ME1-935,9199309,JH3458,33.2,Length Registered,5.89,2.7,153,1140,1998,,,"1251 Nagashima, Kihoku-Cho, Kitamuro-Gun, Mie-Ken, Japan",,,   ,Yes,04 Apr 2017
17380,,Seifuku Maru No. 18,Japan,Pole and line,70,,,Kihoku-Cho,ME1-798,8974594,JH3481,31,Length Registered,5.83,2.6,122,1010,2001,,,"1251-6 Nagashima, Kihoku-Cho, Kitamuro-Gun, Mie-Ken, Japan",,,   ,Yes,28 Feb 2019
14402,,Sensho Maru No. 1,Japan,Pole and line,61,,,Kihoku-Cho,ME1-918,9176905,JH3414,29.7,Length Registered,5.47,2.48,120,1001,1997,,,"1066 Nagashima, Kihoku-Cho, Kitamuro-Gun, Mie-Ken , Japan",,,   ,Yes,04 Apr 2017
13605,,Shinkai Maru No. 73,Japan,Pole and line,106,,,Nichinan-Shi,MZ1-350,8948959,JM6656,34.28,Length Registered,6.01,2.8,157,1144,1998,,Nakano Suisan Incorporated,"2561 Nakamura-Otsu, Nango-Cho, Nichinan-Shi, Miyazaki, Japan",,,   ,No,29 Dec 2015
13609,,Shoei Maru No. 18,Japan,Pole and line,732,,,Yaizu,SO1-1237,9115274,JFFX,56.87,Length Registered,9.5,4.45,499,2000,1994,,"Shoeimaru Company, Ltd.","1344-3 Tajiri, Yaizu-Shi, Shizuoka-Ken, Japan",Shoei Maru No. 8 - Change to Shoei Maru No. 18 notified on 07 Nov 2017 (recorded on 08 Nov 2017) - Flag at time of change: Japan,,   ,Yes,08 Nov 2017
13610,,Shoei Maru No. 38,Japan,Pole and line,785,,,Yaizu,SO1-1335,9105164,JILY,56.2,Length Registered,9.5,4.4,498,2000,1994,,"Shoeimaru Company, Ltd.","1344-3 Tajiri, Yaizu-Shi, Shizuoka-Ken, Japan",Tokuei Maru No. 17 - Change to Shoei Maru No. 38 notified on 05 Apr 2017 (recorded on 05 Apr 2017) - Flag at time of change: Japan,,   ,Yes,05 Apr 2017
17044,,Shoei Maru No. 8,Japan,Pole and line,593,,,Yaizu,SO1-1361,9823704,7JZW,56.87,Length Registered,9.5,4.45,499,2000,2017,,"Shoeimaru Company, Ltd.","1344-3 Tajiri, Yaizu-Shi, Shizuoka-Ken, Japan",,,   ,Yes,08 Nov 2017
13580,,Shoki Maru No. 35,Japan,Pole and line,500,,,Shiogama,MG1-1638,8803836,JMZW,47.71,Length Registered,8.7,4.1,385,520,1988,,,"2-9-34 Shinhama-Cho, Shiogama-Shi, Miyagi, Japan",Kiyo Maru No. 28 - Change to Shoki Maru No. 35 notified on 28 Apr 2017 (recorded on 01 May 2017) - Flag at time of change: Japan,,   ,Yes,01 May 2017
16344,,Tokuei Maru No. 17,Japan,Pole and line,701,,,Owase,ME1-965,9810745,7JXY,56.87,Length Registered,9.5,4.45,499,2000,2016,,,"1-9 Nakamura-Cho, Owase-Shi, Mie-Ken, Japan",,,   ,Yes,07 Feb 2017
13611,,Toyokuni Maru No. 8,Japan,Pole and line,604,,,Yaizu,SO1-1151,9115250,JEHR,53.35,Length Registered,8.9,4.15,483,,1995,,Toyokunimaru Gyogyo Seisan Kumiai,"2-8 Ishizuminato-Cho, Yaizu-Shi, Shizuoka-ken, Japan",,,   ,No,29 Dec 2015
13612,,Yasuichi Maru,Japan,Pole and line,32,,,Shima,ME1-905,8890516,JH3405,29.7,Length Registered,5.69,2.48,120,,1995,,,"1849 Wagu, Shima-Cho, Shima-Shi, Mie, Japan",,,   ,No,29 Dec 2015
13613,,Yoshi Maru No. 81,Japan,Pole and line,154,,,Nango-Cho,MZ1-360,8954520,JM6657,34.28,Length Registered,6.01,2.8,158,,1999,,Yoshimaru Suisan Incorporated,"5126 Oaza-Nakamura-Otsu, Nango-Cho, Minaminaka-Gun, Miyazaki, Japan",,,   ,No,29 Dec 2015
8225,,Agnes 82,Korea,Longline,521,,310,Busan,9512352-6260005,8714061,6LWJ,49.91,Type of Length Unknown,8.8,3.84,410,1200,1988,"DaeDong Shipyard Company, Ltd.","Agnes Fisheries Company, Ltd.","37 Saemunan-Ro 5 Gil, Jongno-gu, Seoul, Korea",Doo An No. 82 - Change to Agnes 82 notified on 12 Nov 2010 (recorded on 15 Nov 2010) - Flag at time of change: Korea,,   ,Yes,16 Dec 2015
8227,,Agnes 83,Korea,Longline,495,,310,Busan,9512412-6260002,9012331,6LIW,49.91,Type of Length Unknown,8.8,3.84,417,1200,1990,"DaeDong Shipbuilding Company, Ltd.","Agnes Fisheries Company, Ltd.","37 Saemunan-Ro 5 Gil, Jongno-gu, Seoul, Korea",Doo An No. 83 - Change to Agnes 83 notified on 12 Nov 2010 (recorded on 15 Nov 2010) - Flag at time of change: Korea,,   ,Yes,11 Oct 2018
8231,,Agnes 90,Korea,Longline,540,,310,Busan,9504057-6210000,9042025,6LZM,49.91,Type of Length Unknown,8.8,3.84,414,1200,1990,"DaeDong Shipyard Company, Ltd.","Agnes Fisheries Company, Ltd.","37 Saemunan-Ro 5 Gil, Jongno-gu, Seoul, Korea",Doo An No. 90 - Change to Agnes 90 notified on 12 Nov 2010 (recorded on 15 Nov 2010) - Flag at time of change: Korea,,   ,Yes,16 Dec 2015
8189,,Atun Tres,Korea,Longline,609,,324,Jung-gu,9512030-6260004,8821553,DTAC5,56.07,Length Overall,8.8,3.84,408,1200,1989,,"Dongwon Industries Company, Ltd.","68 Mabang-Ro, Seocho-gu, Seoul, Korea",,,   ,Yes,04 Apr 2018
8431,,Chilsung No. 1,Korea,Longline,485,,280,Busan,9512359-6260008,8717855,HLJC,47.21,Length Registered,8.7,3.75,384,1000,1988,,"Hansung Enterprise Company, Ltd.","63 Taejong-ro, Yeongdo-gu, Busan, Korea",,,   ,Yes,21 Jun 2016
8125,,Dae Hwa No. 201,Korea,Longline,523,,320,Busan,9601004-6260007,8911293,6MSU,49.91,Length Registered,8.8,3.84,416,1200,1990,"DaeDong Shipyard Company, Ltd.","Dae Hae Fisheries Company, Ltd.","Saebyeoksijang-Gil 35, Seo-Gu, Busan, Korea",,,   ,Yes,21 Jun 2016
8127,,Dae Hwa No. 202,Korea,Longline,523,,320,Busan,9601005-6260006,8911308,6MSA,49.91,Length Registered,8.8,3.84,416,1200,1990,"DaeDong Shipyard Company, Ltd.","Dae Hae Fisheries Company, Ltd.","Saebyeoksijang-Gil 35, Seo-Gu, Busan, Korea",,,   ,Yes,21 Jun 2016
8131,,Dae Hwa No. 302,Korea,Longline,609,,320,Busan,9601006-6260005,8811120,6MWD,49.91,Length Registered,8.8,3.84,417,1200,1989,"DaeDong Shipyard Company, Ltd.","Dae Hae Fisheries Company, Ltd.","Saebyeoksijang-Gil 35, Seo-Gu, Busan, Korea",,,   ,Yes,21 Jun 2016
8133,,Dae Hwa No. 303,Korea,Longline,590,,320,Busan,9512350-6260007,8714047,6NIK,49.91,Length Registered,8.8,3.84,410,1200,1988,"DaeDong Shipyard Company, Ltd.","Dae Hae Fisheries Company, Ltd.","Saebyeoksijang-Gil 35, Seo-Gu, Busan, Korea",,,   ,Yes,21 Jun 2016
8137,,Dae Hwa No. 306,Korea,Longline,597,,320,Busan,9504010-6210005,8709054,DTFE,49.91,Length Registered,8.8,3.84,416,1200,1987,"DaeDong Shipyard Company, Ltd.","Dae Hae Fisheries Company, Ltd.","Saebyeoksijang-Gil 35, Seo-Gu, Busan, Korea",,,   ,Yes,21 Jun 2016
8107,,Dae Hwa No. 308,Korea,Longline,605,,330,Busan,9507126-6260000,8805327,6NJI,49.91,Length Registered,8.8,3.84,423,1200,1988,"DaeDong Shipyard Company, Ltd.","Dae Hae Fisheries Company, Ltd.","Saebyeoksijang-Gil 35, Seo-Gu, Busan, Korea",,,   ,Yes,21 Jun 2016
4311,,Dae Hwa No. 309,Korea,Longline,523,,290,Busan,1112001-6261406,8605052,6KCB2,48.01,Length Registered,8.6,3.8,376,1000,1986,"Miho Shipyard Company, Ltd.","Dae Hae Fisheries Company, Ltd.","Saebyeoksijang-Gil 35, Seo-Gu, Busan, Korea",Fukuichi Maru No. 82 - Change to Dae Hwa No. 309 notified on 26 Dec 2011 (recorded on 27 Dec 2011) - Flag at time of change: Japan,Japan - Change to Korea notified on 26 Dec 2011 (recorded on 27 Dec 2011) - Vessel name at time of change: Fukuichi Maru No. 82,   ,Yes,21 Jun 2016
4779,,Dae Hwa No. 313,Korea,Longline,536,,320,Busan,1505001-6261403,9031868,6KAD,49.21,Length Registered,8.8,3.8,392,1000,1991,"Miho Shipyard Company, Ltd.","Dae Hae Fisheries Company, Ltd.","Saebyeoksijang-Gil 35, Seo-Gu, Busan, Korea",Tokuei Maru No. 1 - Change to Dae Hwa No. 313 notified on 10 Jun 2015 (recorded on 17 Jun 2015) - Flag at time of change: Japan,Japan - Change to Korea notified on 10 Jun 2015 (recorded on 17 Jun 2015) - Vessel name at time of change: Tokuei Maru No. 1,   ,Yes,15 Dec 2015
8155,,Dong Won No. 203,Korea,Longline,600,,322,Jung-gu,9508003-6260006,8717805,DTDU,56.07,Length Overall,8.8,3.84,397,1200,1988,,"Dongwon Industries Company, Ltd.","68 Mabang-Ro, Seocho-gu, Seoul, Korea",,,   ,Yes,04 Apr 2018
8161,,Dong Won No. 208,Korea,Longline,549,,324,Jung-gu,9510076-6260004,9042013,6NIM,53.3,Length Overall,8.8,3.84,408,1200,1990,,"Dongwon Industries Company, Ltd.","68 Mabang-Ro, Seocho-gu, Seoul, Korea",,,   ,Yes,04 Apr 2018
8163,,Dong Won No. 211,Korea,Longline,609,,324,Jung-gu,9510064-6260008,8821541,6LCW,56.07,Length Overall,8.8,3.84,408,1200,1989,,"Dongwon Industries Company, Ltd.","68 Mabang-Ro, Seocho-gu, Seoul, Korea",,,   ,Yes,04 Apr 2018
8165,,Dong Won No. 212,Korea,Longline,549,,324,Jung-gu,9510074-6260006,8843111,6NMC,56.07,Length Overall,8.8,3.84,408,1200,1990,,"Dongwon Industries Company, Ltd.","68 Mabang-Ro, Seocho-gu, Seoul, Korea",,,   ,Yes,04 Apr 2018
8167,,Dong Won No. 216,Korea,Longline,549,,324,Jung-gu,9510075-6260005,8843094,6NMK,56.07,Length Overall,8.8,3.84,408,1200,1990,,"Dongwon Industries Company, Ltd.","68 Mabang-Ro, Seocho-gu, Seoul, Korea",,,   ,Yes,04 Apr 2018
8425,,Hansung No. 36,Korea,Longline,485,,280,Busan,9512339-6260002,8619388,HLWD,47.21,Length Registered,8.7,3.75,385,1000,1987,,"Hansung Enterprise Company, Ltd.","63 Taejong-ro, Yeongdo-gu, Busan, Korea",,,   ,Yes,21 Jun 2016
8427,,Hansung No. 38,Korea,Longline,485,,280,Busan,9512360-6260005,8717843,HLJB,47.21,Length Registered,8.7,3.75,385,1000,1988,,"Hansung Enterprise Company, Ltd.","63 Taejong-ro, Yeongdo-gu, Busan, Korea",,,   ,Yes,21 Jun 2016
8429,,Hansung No. 39,Korea,Longline,485,,280,Busan,9512424-6260008,9046409,6NET,47.21,Length Registered,8.7,3.75,385,1000,1991,,"Hansung Enterprise Company, Ltd.","63 Taejong-ro, Yeongdo-gu, Busan, Korea",,,   ,Yes,21 Jun 2016
8175,,Kakehashi No. 1,Korea,Longline,648,,293,Busan,9510068-6260004,8619261,HLWP,49.91,Length Overall,8.8,3.84,408,1200,1987,DaeDong Dockyard,"KHD Korea Company, Ltd","Room 12 on the 4th floor of the annex, 147 Wonyang-ro, Seo-gu, Busan, Korea",Namgung No. 509 - Change to Kakehashi No. 1 notified on 02 Dec 2024 (recorded on 02 Dec 2024) - Flag at time of change: Korea,,   ,Yes,09 May 2025
8399,,Kakehashi No. 2,Korea,Longline,586,,310,Busan,9512393-6260006,8827741,6LHL,49.91,Length Overall,8.8,3.84,414,1200,1989,,"KHD Korea Company, Ltd","Room 12 on the 4th floor of the annex, 147 Wonyang-ro, Seo-gu, Busan, Korea",Namgung No. 517 - Change to Kakehashi No. 2 notified on 15 Dec 2024 (recorded on 15 Dec 2024) - Flag at time of change: Korea,,   ,Yes,09 May 2025
8105,,Kyung Yang No. 2,Korea,Longline,532,,300,Busan,9507125-6260001,8805315,6NJH,49.91,Length Registered,8.8,3.84,423,1200,1988,,"Kyung Yang Fisheries Company, Ltd.","Won Yang Plaza B/D (Rm 507) 105, Wonyang-ro, Seo-Gu, Busan, Korea",Jisung No. 5 - Change to Kyung Yang No. 2 notified on 04 Jan 2011 (recorded on 04 Jan 2011) - Flag at time of change: Korea,,   ,Yes,28 Feb 2018
5375,,Kyung Yang No. 3,Korea,Longline,506,,293,Busan,0912001-6261401,9020106,DTBX3,48.11,Length Registered,8.7,3.75,393,1000,1990,,"Kyung Yang Fisheries Company, Ltd.","Won Yang Plaza B/D (Rm 507) 105, Wonyang-ro, Seo-Gu, Busan, Korea",Ryoun Maru No. 22 - Change to Kyung Yang No. 3 notified on 04 Jan 2011 (recorded on 04 Jan 2011) - Flag at time of change: Unknown,Unknown - Change to Korea notified on 04 Jan 2011 (recorded on 04 Jan 2011) - Vessel name at time of change: Ryoun Maru No. 22,   ,Yes,28 Feb 2018
4569,,Kyung Yang No. 5,Korea,Longline,537,,291,Busan,1002001-6261409,8703464,DTBX7,49.62,Length Registered,8.8,3.84,414,1000,1987,,"Kyung Yang Fisheries Company, Ltd.","Won Yang Plaza B/D (Rm 507) 105, Wonyang-ro, Seo-Gu, Busan, Korea",Shinsei Maru No. 6 - Change to Kyung Yang No. 5 notified on 04 Jan 2011 (recorded on 04 Jan 2011) - Flag at time of change: Unknown,Unknown - Change to Korea notified on 04 Jan 2011 (recorded on 04 Jan 2011) - Vessel name at time of change: Shinsei Maru No. 6,   ,Yes,28 Feb 2018
8707,,Kyung Yang No. 6,Korea,Longline,657,,330,Busan,1110001-6261400,8734255,6KCA6,51.19,Length Registered,9,3.85,483,1600,1999,,"Kyung Yang Fisheries Company, Ltd.","Won Yang Plaza B/D (Rm 507) 105, Wonyang-ro, Seo-Gu, Busan, Korea",Yuh Yow No. 606 - Change to Kyung Yang No. 6 notified on 12 Dec 2011 (recorded on 03 Jan 2012) - Flag at time of change: Chinese Taipei,Chinese Taipei - Change to Korea notified on 12 Dec 2011 (recorded on 03 Jan 2012) - Vessel name at time of change: Yuh Yow No. 606,   ,Yes,28 Feb 2018
8171,,Kyung Yang No. 9,Korea,Longline,478,,293,Busan,9510058-6260006,8610629,HLLR,47.21,Length Registered,8.7,3.75,383,1000,1986,,"Kyung Yang Fisheries Company, Ltd.","Won Yang Plaza B/D (Rm 507) 105, Wonyang-ro, Seo-Gu, Busan, Korea",Dong Won No. 802 - Change to Kyung Yang No. 9 notified on 14 Oct 2013 (recorded on 15 Oct 2013) - Flag at time of change: Korea,,   ,Yes,28 Feb 2018
8381,,Namgung No. 501,Korea,Longline,648,,320,Busan,9511020-6260008,8703854,DTFC,49.91,Length Overall,8.8,3.84,411,1200,1987,,"Namgung Tuna Company, Ltd.","#90 Wonyang-Ro, Seo-Ku, Busan, Republic of Korea",Ocean No. 207 - Change to Namgung No. 501 notified on 07 Jul 2014 (recorded on 09 Jul 2014) - Flag at time of change: Korea,,   ,Yes,31 Oct 2024
8403,,Namgung No. 518,Korea,Longline,541,,300,Busan,9512375-6260008,8714102,DTUV,49.91,Length Overall,8.8,3.84,410,1200,1988,"DaeDong Shipbuilding Company, Ltd.","Namgung Tuna Company, Ltd.","#90 Wonyang-Ro, Seo-Ku, Busan, Republic of Korea",Insung No. 88 - Change to Namgung No. 518 notified on 11 Aug 2016 (recorded on 13 Aug 2016) - Flag at time of change: Korea,,   ,Yes,31 Oct 2024
8117,,No. 101 Hae Cheon,Korea,Longline,532,,300,Busan,9412027-6210001,8815645,6NKO,49.61,Length Registered,8.8,3.84,423,1200,1989,"DaeDong Shipbuilding Company, Ltd.","Sea Sky Mulsan Company, Ltd.","111 Wonyang-ro, Seo-gu, Busan, Korea",Chungyong No. 71 - Change to No. 101 Hae Cheon notified on 01 Jul 2021 (recorded on 02 Jul 2021) - Flag at time of change: Korea,,   ,Yes,02 Jul 2021
4339,,No. 11 Hae Cheon,Korea,Longline,594,,,Busan,1705001-6261409,8921250,6KSA,49.92,Length Overall,9,3.85,438,1000,1990,Sambo Shipyard,"Sea Sky Mulsan Company, Ltd.","111 Wonyang-ro, Seo-gu, Busan, Korea",Myojin Maru No. 8 - Change to No. 11 Hae Cheon notified on 16 Jul 2020 (recorded on 17 Jul 2020) - Flag at time of change: Japan,Japan - Change to Korea notified on 16 Jul 2020 (recorded on 17 Jul 2020) - Vessel name at time of change: Myojin Maru No. 8,   ,Yes,12 May 2022
8259,,No. 202 Hae Cheon,Korea,Longline,478,,280,Busan,9502034-6210001,8714176,DTDY,47.21,Length Registered,8.7,3.75,380,1000,1988,"Dae Sun Shipbuilding & Engineering Company, Ltd.","Sea Sky Mulsan Company, Ltd.","111 Wonyang-ro, Seo-gu, Busan, Korea",Oryong No. 312 - Change to No. 202 Hae Cheon notified on 23 Aug 2021 (recorded on 24 Aug 2021) - Flag at time of change: Korea,,   ,Yes,24 Aug 2021
8353,,No. 21 Kyung Yang,Korea,Longline,615,,320,Busan,9512381-6260000,8815712,6MWO,49.77,Length Registered,9.2,3.85,424,1200,1989,"Shin-A Shipbuilding Company, Ltd.","Kyung Yang Fisheries Company, Ltd.","Won Yang Plaza B/D (Rm 507) 105, Wonyang-ro, Seo-Gu, Busan, Korea",Shin Yung No. 53 - Change to No. 21 Kyung Yang notified on 12 Apr 2021 (recorded on 13 Apr 2021) - Flag at time of change: Korea,,   ,Yes,13 Apr 2021
4425,,No. 22 Hae Cheon,Korea,Longline,594,,,Busan,1812001-6261402,8808159,6KSC,46.9,Length Registered,8.7,3.75,390,1000,1988,,"Sea Sky Mulsan Company, Ltd.","111 Wonyang-ro, Seo-gu, Busan, Korea",Tatsumi Maru No. 56 - Change to No. 22 Hae Cheon notified on 30 Jul 2020 (recorded on 31 Jul 2020) - Flag at time of change: Japan,Japan - Change to Korea notified on 30 Jul 2020 (recorded on 31 Jul 2020) - Vessel name at time of change: Tatsumi Maru No. 56,   ,Yes,31 Jul 2020
8255,,No. 303 Hae Cheon,Korea,Longline,478,,280,Busan,9505009-6210006,8703892,HLBX,47.21,Length Registered,8.7,3.75,384,1000,1987,"Daesun Shipbuilding Company, Ltd.","Sea Sky Mulsan Company, Ltd.","111 Wonyang-ro, Seo-gu, Busan, Korea",Oryong No. 307 - Change to No. 303 Hae Cheon notified on 08 Jun 2020 (recorded on 09 Jun 2020) - Flag at time of change: Korea,,   ,Yes,01 Sep 2022
8385,,No. 355 Oyang,Korea,Longline,560,,320,Busan,9511013-6260007,8905593,6MNI,49.91,Length Registered,8.8,3.84,411,1200,1989,,Oyang Corporation,"2159 Namboosoonhwan-ro, Seocho-gu, Seoul, Korea",Oyang No. 355 - Change to No. 355 Oyang notified on 13 Jul 2023 (recorded on 13 Jul 2023) - Flag at time of change: Korea,,   ,Yes,13 Jul 2023
8389,,No. 371 Oyang,Korea,Longline,510,,290,Busan,9512036-6260008,8920892,DTAC9,46.91,Length Registered,8.7,3.75,383,1200,1990,,Oyang Corporation,"2159 Namboosoonhwan-ro, Seocho-gu, Seoul, Korea",Oyang No. 371 - Change to No. 371 Oyang notified on 13 Jul 2023 (recorded on 13 Jul 2023) - Flag at time of change: Korea,,   ,Yes,13 Jul 2023
8391,,No. 372 Oyang,Korea,Longline,560,,290,Busan,9604001-6260004,8920907,DTAE9,46.91,Length Registered,8.7,3.75,383,1200,1990,,Oyang Corporation,"2159 Namboosoonhwan-ro, Seocho-gu, Seoul, Korea",Oyang No. 372 - Change to No. 372 Oyang notified on 13 Jul 2023 (recorded on 13 Jul 2023) - Flag at time of change: Korea,,   ,Yes,13 Jul 2023
9119,,No. 503 Namgung,Korea,Longline,502,,,Busan,2208001-6261402,8909616,6KUA,47.53,Length Registered,8.7,3.75,398,1000,1989,,"KHD Korea Company, Ltd","Room 12 on the 4th floor of the annex, 147 Wonyang-ro, Seo-gu, Busan, Korea",Kotoshiro Maru No. 18 - Change to No. 503 Namgung notified on 24 Oct 2022 (recorded on 24 Oct 2022) - Flag at time of change: Japan,Japan - Change to Korea notified on 24 Oct 2022 (recorded on 24 Oct 2022) - Vessel name at time of change: Kotoshiro Maru No. 18,   ,Yes,09 May 2025
8199,,No. 618 Dong Won,Korea,Longline,611,,310,Busan,9512379-6260004,8815669,6KWS,49.91,Length Registered,8.8,3.84,417,1200,1989,,"Dong Won Fisheries Company, Ltd.","4F 38 Dongmak-Ro 8-Gil, Mapo-Gu, Seoul, Korea",Dong Won No. 618 - Change to No. 618 Dong Won notified on 12 Dec 2016 (recorded on 13 Dec 2016) - Flag at time of change: Korea,,   ,Yes,03 Jun 2024
8201,,No. 619 Dong Won,Korea,Longline,611,,310,Busan,9512380-6260001,8815671,6KWT,49.91,Length Registered,8.8,3.84,417,1200,1989,,"Dong Won Fisheries Company, Ltd.","4F 38 Dongmak-Ro 8-Gil, Mapo-Gu, Seoul, Korea",Dong Won No. 619 - Change to No. 619 Dong Won notified on 12 Dec 2016 (recorded on 13 Dec 2016) - Flag at time of change: Korea,,   ,Yes,03 Jun 2024
8203,,No. 620 Dong Won,Korea,Longline,611,,310,Busan,9512388-6260003,8821498,6LCI,49.91,Length Registered,8.8,3.84,417,1200,1989,,"Dong Won Fisheries Company, Ltd.","4F 38 Dongmak-Ro 8-Gil, Mapo-Gu, Seoul, Korea",Dong Won No. 620 - Change to No. 620 Dong Won notified on 12 Dec 2016 (recorded on 13 Dec 2016) - Flag at time of change: Korea,,   ,Yes,03 Jun 2024
8205,,No. 621 Dong Won,Korea,Longline,598,,310,Busan,9503037-6210006,8905567,6NLA,49.62,Length Registered,8.8,3.84,424,1200,1989,,"Dong Won Fisheries Company, Ltd.","4F 38 Dongmak-Ro 8-Gil, Mapo-Gu, Seoul, Korea",Dong Won No. 621 - Change to No. 621 Dong Won notified on 12 Dec 2016 (recorded on 13 Dec 2016) - Flag at time of change: Korea,,   ,Yes,03 Jun 2024
8207,,No. 622 Dong Won,Korea,Longline,598,,310,Busan,9509033-6260008,8905579,DTAA5,49.62,Length Registered,8.8,3.84,424,1200,1989,,"Dong Won Fisheries Company, Ltd.","4F 38 Dongmak-Ro 8-Gil, Mapo-Gu, Seoul, Korea",Dong Won No. 622 - Change to No. 622 Dong Won notified on 12 Dec 2016 (recorded on 13 Dec 2016) - Flag at time of change: Korea,,   ,Yes,03 Jun 2024
8209,,No. 623 Dong Won,Korea,Longline,598,,310,Busan,9412015-6210005,8905581,DSDR7,49.61,Length Registered,8.8,3.84,424,1200,1989,,"Dong Won Fisheries Company, Ltd.","4F 38 Dongmak-Ro 8-Gil, Mapo-Gu, Seoul, Korea",Dong Won No. 623 - Change to No. 623 Dong Won notified on 12 Dec 2016 (recorded on 13 Dec 2016) - Flag at time of change: Korea,,   ,Yes,03 Jun 2024
8217,,No. 631 Dong Won,Korea,Longline,598,,310,Busan,9701004-6260005,8911310,DTAM4,49.61,Length Registered,8.8,3.84,420,1200,1989,,"Dong Won Fisheries Company, Ltd.","4F 38 Dongmak-Ro 8-Gil, Mapo-Gu, Seoul, Korea",Dong Won No. 631 - Change to No. 631 Dong Won notified on 12 Dec 2016 (recorded on 13 Dec 2016) - Flag at time of change: Korea,,   ,Yes,03 Jun 2024
8219,,No. 632 Dong Won,Korea,Longline,598,,310,Busan,9708001-6260004,8911322,DSAQ4,49.62,Length Registered,8.8,3.84,424,1200,1989,,"Dong Won Fisheries Company, Ltd.","4F 38 Dongmak-Ro 8-Gil, Mapo-Gu, Seoul, Korea",Dong Won No. 632 - Change to No. 632 Dong Won notified on 12 Dec 2016 (recorded on 13 Dec 2016) - Flag at time of change: Korea,,   ,Yes,03 Jun 2024
8221,,No. 633 Dong Won,Korea,Longline,598,,310,Busan,9705002-6260009,8911334,DTAN8,49.61,Length Registered,8.8,3.84,425,1200,1989,,"Dong Won Fisheries Company, Ltd.","4F 38 Dongmak-Ro 8-Gil, Mapo-Gu, Seoul, Korea",Dong Won No. 633 - Change to No. 633 Dong Won notified on 12 Dec 2016 (recorded on 13 Dec 2016) - Flag at time of change: Korea,,   ,Yes,03 Jun 2024
4889,,No. 637 Dong Won,Korea,Longline,584,,304,Busan,0910001-6261101,9032991,DTBW8,49.09,Length Registered,8.9,3.8,408,1000,1991,,"Dong Won Fisheries Company, Ltd.","4F 38 Dongmak-Ro 8-Gil, Mapo-Gu, Seoul, Korea",Dong Won No. 637 - Change to No. 637 Dong Won notified on 12 Dec 2016 (recorded on 13 Dec 2016) - Flag at time of change: Korea,Japan - Change to Korea notified on 02 Dec 2009 (recorded on 03 Dec 2009) - Vessel name at time of change: Kenkyu Maru No. 18,   ,Yes,03 Jun 2024
4899,,No. 638 Dong Won,Korea,Longline,579,,300,Busan,0910002-6261100,9016399,DTBW9,49.93,Length Registered,9,3.85,419,1600,1990,,"Dong Won Fisheries Company, Ltd.","4F 38 Dongmak-Ro 8-Gil, Mapo-Gu, Seoul, Korea",Dong Won No. 638 - Change to No. 638 Dong Won notified on 12 Dec 2016 (recorded on 13 Dec 2016) - Flag at time of change: Korea,Japan - Change to Korea notified on 02 Dec 2009 (recorded on 03 Dec 2009) - Vessel name at time of change: Kenkyu Maru No. 28,   ,Yes,03 Jun 2024
4813,,No. 639 Dong Won,Korea,Longline,635,,345,Busan,1203001-6261109,9011167,6KCA,50.01,Length Registered,9,3.95,442,1000,1990,,"Dong Won Fisheries Company, Ltd.","4F 38 Dongmak-Ro 8-Gil, Mapo-Gu, Seoul, Korea",Dong Won No. 639 - Change to No. 639 Dong Won notified on 12 Dec 2016 (recorded on 13 Dec 2016) - Flag at time of change: Korea,Japan - Change to Korea notified on 03 Apr 2012 (recorded on 05 Apr 2012) - Vessel name at time of change: Chokyu Maru No. 1,   ,Yes,03 Jun 2024
4387,,No. 650 Dong Won,Korea,Longline,538,,,Busan,1904001-6261103,9036715,6KSD,49.91,Length Registered,9,3.85,439,1000,1991,"Miho Shipyard Company, Ltd.","Dong Won Fisheries Company, Ltd.","4F 38 Dongmak-Ro 8-Gil, Mapo-Gu, Seoul, Korea",Shoei Maru No. 88 - Change to No. 650 Dong Won notified on 03 May 2019 (recorded on 03 May 2019) - Flag at time of change: Japan,Japan - Change to Korea notified on 03 May 2019 (recorded on 03 May 2019) - Vessel name at time of change: Shoei Maru No. 88,   ,Yes,30 Jul 2024
