Name,"Built in Country","Built in Year","IMO Number","WCPFC ID","FFA ID","International Radio Call Sign (IRCS)",MMSI,"Registration Number",Flag,Type,"Registration Start","Registration Period","Current Status","Application Type",Registrant,"Registrant Acting As","Reason for Deregistration","Registration Number","Port of Registry","Vessel Tonnage (GRT)","Hull Material","Vessel Length (LOA)","Vessel Length (PP)","Vessel Length (RL)","Rated Speed","Normal Crew Complement","Engine Model","Total Fuel Carrying Capacity","Total Power of Main Engine or Engines","Power Unit","Fish Hold Capacity","Fish Hold Capacity Unit","Freezer Types","Refrigerant Used Type","Refrigerant Used Capacity","Previous Names","Last Radio Call Sign (IRCS)","Last Flag State Registration Number","Previous Flag","Owner Company Name","Owner Mailing Address","Operator Name","Operator Mailing Address","Vessel Master Name","Vessel Master Nationality","Fishing Master Name","Fishing Master Nationality","Recent side-view vessel photo","Recent plan-view vessel photo"
"JIN JINN YI NO.26",Taiwan,2007,8792958,5391,35581,BG3982,416003089,CT5-1982,Taiwan,Longline,08-Apr-2025,07-Apr-2026,Approved,"Good Standing Foreign","Tri Marine Taiwan Office",Owner,,CT5-1982,KAOHSIUNG,141.00,Fibreglass,"31.00 Metres","20.00 Metres","25.88 Metres","9.50 Knots",20,MITSUBISHI,"56805.00 Kilolitres",939.50,HP,167.20,"Cubic Metres","Air Coils",R22,"850.00 Kg",,,,,"TSAI, YUN-KAI","No. 91, Mingli Rd., Donggang Township, Pingtung County 928, Taiwan (R.O.C.)","NATIONAL FISHERIES DEVELOPMENTS LTD","PO BOX 717 
HONIARA
SOLOMON ISLANDS","WU, CHERNG-JIUNN",Taiwan,,,,https://vessel-register.ffa.int/sites/default/files/vsr_files/mmexport1710479295231_0.jpg
"HUI HANG 828",China,2020,9912385,12421,37324,3E8278,352005095,58614-PEXT-F,Panama,Bunker,07-Apr-2025,06-Apr-2026,Approved,"Good Standing Foreign","Tone Shipping Co., Ltd","Charterer / Operator",,58614-PEXT-F,PANAMA,6117.00,Steel,"119.98 Metres",,,"11.00 Knots",16,"Ningbo CSI GN8320ZC4B","176.00 Kilolitres",2795.00,KW,0.00,"Cubic Metres",,,,,,,,"ZHOUSHAN HUIHANG SHIPPING CO., LTD","2ND FLOOR, BUILDING A2, 
FISHING PORT BUILDING,
 PUTUO, ZHOUSHAN, CHINA","TONE SHIPPING CO., LTD","Room 1912, 151, Teheran-Ro
Gangnam-Gu
Seoul
Republic of Korea","WEN SONGSHENG",China,,,,https://vessel-register.ffa.int/sites/default/files/vsr_files/HH828_IDENTIFICATION%20ON%20THE%20DECK.JPG
"COSMOS KIM","United States",1981,8103092,1663,16949,T2QA5,572405220,38498121,Tuvalu,"Single Purse Seiner",07-Apr-2025,06-Apr-2026,Approved,"Good Standing Foreign","Dongwon Industries Co., Ltd","Charterer / Operator",,38498121,FUNAFUTI,1691.00,Steel,"69.49 Metres","68.96 Metres","69.49 Metres","13.00 Knots",29,L20-645E7B,"316.00 Kilolitres",2647.00,KW,950.00,"Metric Tonnes",Brine,"R717 (Ammonia)","2500.00 Kg",,,,,"TUDO Fisheries Co. Pty Ltd","Fogafale Road, Alapi
Funafuti
Tuvalu","TUDO FISHERIES CO. PTY LTD","FOGAFALE ROAD
ALAPI, FUNAFUTI
TUVALU","JANG SUKYOUNG","Korea, Republic of","JANG SUKYOUNG","Korea, Republic of",,https://vessel-register.ffa.int/sites/default/files/vsr_files/PLAN.jpg
SHENLIANCHENG601,China,2023,9990492,12166,37100,BZXC7,412698170,(YUE)CHUANDENG(JI)(2023)FT-200017,China,Longline,04-Apr-2025,03-Apr-2026,Approved,"Good Standing Foreign","Liancheng  Overseas Fishery (Shenzhen) Co., Ltd","Charterer / Operator",,(YUE)CHUANDENG(JI)(2023)FT-200017,SHEKOU,138.00,Fibreglass,"24.10 Metres",,"24.10 Metres","12.00 Knots",12,KTA19-M,"41.00 Kilolitres",447.00,KW,127.59,"Cubic Metres",Ice,R507A,"60.00 Kg",,,,,"LIANCHENG OVERSEAS FISHERY (SHENZHEN) CO., LTD","4203 Landmark Tower,
 Jintian Rd., Futian District ,
 Shenzhen
China","MARSHALL ISLANDS FISHING VENTURE, INC","P O BOX 437 
MAJURO MH96960
MARSHALL ISLANDS","Wei Yong Cong",China,"Wei Yong Cong",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/SHENLIANCHENG601-2.jpg
SHENLIANCHENG790,China,2022,9987940,12167,37101,BZXC23,412699520,(YUE)CHUANDENG(JI)(2023)FT-200018,China,Longline,04-Apr-2025,03-Apr-2026,Approved,"Good Standing Foreign","Liancheng  Overseas Fishery (Shenzhen) Co., Ltd","Charterer / Operator",,(YUE)CHUANDENG(JI)(2023)FT-200018,SHEKOU,138.00,Fibreglass,"24.10 Metres",,,"10.50 Knots",12,KTA19-M,"41.00 Kilolitres",447.00,KW,127.59,"Cubic Metres",Ice,R507A,"60.00 Kg",,,,,"LIANCHENG OVERSEAS FISHERY (SHENZHEN) CO., LTD","4203 Landmark Tower,
 Jintian Rd, Futian District 
 Shenzhen
China","MARSHALL ISLANDS FISHING VENTURE, INC","P O BOX 437
MAJURO, MH96960
MARHSALL ISLANDS","Qian Jian Nan",China,"Qian Jian Nan",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/37101_planview_2425_2.JPG
"QUEEN MARILOU 888",Japan,1990,9009736,1886,26575,4DMQ-5,548657700,12-0003678,Philippines,"Single Purse Seiner",04-Apr-2025,03-Apr-2026,Approved,"Good Standing Foreign","Bluecatch Corporation",Owner,,12-0003678,"GENERAL SANTOS",1108.00,Steel,"63.51 Metres",,"57.85 Metres","14.00 Knots",27,6MG32CLX-55802,"439.73 Kilolitres",1939.00,KW,726.00,"Metric Tonnes",Brine,"R12 (Freon)","4000.00 Kg",,,,,"Bluecatch Corporation","Purok Eslome, Brgy. Kablacan
Maasim
Sarangani Province
Philippines","BLUECATCH CORPORATION","Purok Eslome, Brgy. Kablacan
Maasim
Sarangani Province
Philippines","JESSEL ODANGO",Philippines,"Won Min Bae","Korea, Republic of",,https://vessel-register.ffa.int/sites/default/files/vsr_files/QM-888%20-%20PLAN-VIEW%20PICTURE.jpg
"HUYU 929",China,2015,9784673,11306,36687,BZV9T,412371208,(HU)CHUANDENG(JI)(2023)FT-200006,China,Longline,03-Apr-2025,02-Apr-2026,Approved,"Good Standing Foreign","HuaKe Technology Services (Fiji) LIMITED",Owner,,(HU)CHUANDENG(JI)(2023)FT-200006,SHANGHAI,560.00,Steel,"49.90 Metres","43.20 Metres","43.20 Metres","10.50 Knots",20,KTA38-M0,"407.00 Kilolitres",671.00,KW,560.00,"Cubic Metres","Air Coils",R22,"680.00 Kg",,,,,"Shanghai Deep Sea Fisheries Co.,Ltd","No.661 AnPu Road Shanghai CHINA","SHANGHAI DEEP SEA FISHERIES CO.,LTD","No.661 AnPu Road
Shanghai 
China","Jin Guixiang",China,"Jin Guixiang",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/929-PLAN.jpg
"HENG HONG 11",China,2022,9956977,12148,37099,BPAN8,413382920,070022000036,China,"Fish Carrier/Reefer",03-Apr-2025,02-Apr-2026,Approved,"Good Standing Foreign","Zhejiang Henghong Shipping Co.,Ltd",Owner,,070022000036,ZHOUSHAN,6244.00,Steel,"123.43 Metres",,"113.60 Metres","14.00 Knots",25,LH46LA,"611.74 Kilolitres",3309.00,KW,7470.30,"Metric Tonnes","Air Coils",FREON,"60000.00 Kg",,,,,"Zhejiang Henghong Shipping Co.,Ltd","No.65-1 Free Trade Village,
Qiangdao Central Business District,
ZHOUSHAN CITY (ZHEJIANG) 
Pilot Free Trade Zone
China","Zhejiang Henghong Shipping Co.,Ltd","No.65-1 Free Trade Village,
Qiangdao Central Business Dist,
Zhoushan City (Zhejiang)
Pilot Free Trade Zone, China","YU GUO JIE",China,"YU GUO JIE",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/TOP_1.jpg
"PRIMROSE 888",Japan,1971,7046845,1048,34062,DUOZ-2,548308200,00-0002035,Philippines,"Fish Carrier/Reefer",03-Apr-2025,02-Apr-2026,Approved,"Good Standing Foreign","Frabelle PNG Limited",Owner,,00-0002035,"GENERAL SANTOS",2967.00,Steel,"90.00 Metres","90.00 Metres","90.00 Metres","14.80 Knots",30,NIIGATA,"467.00 Kilolitres",4178.00,KW,2350.00,"Metric Tonnes",Brine,R22,"5000.00 Kg",,,,,"FRABELLE FISHING CORPORATION","Sitio Cabu, Bawing, General Santos City, Philippines","FRABELLE PNG LIMITED","P.O Box 1255, Section 227 Lot 1
Speybank St, Lae City
Morobe Province
Papua New Guinea","AC-AC, NILO",Philippines,"AC-AC, NILO",Philippines,,https://vessel-register.ffa.int/sites/default/files/vsr_files/PR8%20-TOP%20VIEW.JPG
TRESKA,Japan,1978,7727920,1147,36930,DUG-9015,277327000,00-0002818,Philippines,"Single Purse Seiner",02-Apr-2025,01-Apr-2026,Approved,"Good Standing Foreign","STARCKI VENTURES CORPORATION",Owner,,00-0002818,"GENERAL SANTOS",955.00,Steel,"61.55 Metres","61.55 Metres","54.90 Metres","10.00 Knots",35,AKASAKA,"339.45 Kilolitres",1864.00,KW,1084.00,"Metric Tonnes",Brine,"R717 (Ammonia)","100000.00 Kg","Taikei Maru No.51",,,Japan,"STARCKI VENTURES CORPORATION","Purok Cabu, Bawing
GENERAL SANTOS CITY
Phillipines 9500","STARCKI VENTURES CORPORATION","Purok Cabu, Bawing
GENERAL SANTOS CITY
Phillipines 9500","CASAGAN, ELVEN",Philippines,"CASAGAN, ELVEN",Philippines,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Treska%20planview%20picture%2002.jpg
CHENILLE,Japan,1982,8204585,1146,7294,DUG-9082,548204300,00-0002267,Philippines,"Single Purse Seiner",02-Apr-2025,01-Apr-2026,Approved,"Good Standing Foreign","STARCKI VENTURES CORPORATION",Owner,,00-0002267,"GENERAL SANTOS",899.00,Steel,"61.57 Metres","61.57 Metres","54.90 Metres","11.00 Knots",35,AKASAKA,"313.00 Kilolitres",1864.00,KW,385.82,"Metric Tonnes",Brine,"R717 (Ammonia)","10000.00 Kg","Taike Maru No.71",,,Japan,"STARCKI VENTURES CORPORATION","Purok Cabu, 
BAWING, General Santos City
Philippines 9500","STARCKI VENTURES CORPORATION","Purok Cabu, 
BAWING, General Santos City
Philippines 9500","POSADAS, JENEL",Philippines,"POSADAS, JENEL",Philippines,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Chenille%20planview%20picture.jpg
KAMILAH,Japan,1982,8130174,9829,7278,DUM-3346,548604400,12-0002957,Philippines,"Single Purse Seiner",01-Apr-2025,31-Mar-2026,Approved,"Good Standing Foreign","Bluecatch Corporation",Owner,,12-0002957,"GENERAL SANTOS",1016.00,Steel,"61.10 Metres",,"56.75 Metres","12.50 Knots",31,NIIGATA,"320.00 Kilolitres",2500.00,HP,640.00,"Metric Tonnes",Brine,"R717 (Ammonia)","6000.00 Kg",,,,,"Bluecatch Corporation","Purok Eslome, Barangay Kablacan Maasim 
SARANGANI, 9502 Philippines.","BLUECATCH CORPORATION","Purok Eslome, 
Barangay Kablacan Maasim 
Sarangani
9502 Philippines.","MARVIN P. ALONZO",Philippines,"Esteban T. Pollescas Jr.",Philippines,,https://vessel-register.ffa.int/sites/default/files/vsr_files/KAMILAH%20-%20PLAN-VIEW.jpg
"SOPHIA MARTINA",Taiwan,1987,8748696,10891,17889,4DFC-6,548058500,00-0002560,Philippines,"Single Purse Seiner",01-Apr-2025,31-Mar-2026,Approved,"Good Standing Foreign","Trans-Pacific Journey Fishing Corp.",Owner,,00-0002560,MANILA,995.00,Steel,"64.70 Metres","55.90 Metres","56.64 Metres","13.00 Knots",38,Daihatsu,"397.00 Kilolitres",2162.57,KW,750.00,"Metric Tonnes",Brine,"Ammonia NH3","750000.00 Kg",,,,,"Trans-Pacific Journey Fishing Corp.","1094-A North Bay Boulevard
Navotas City, Metro Manilla
Philippines 1485","TRANS-PACIFIC JOURNEY FISHING CORPORATION","1094-A North Bay Boulevard
Navotas City, Metro Manilla
Philippines 1485","BANQUIL, JOHN ANTHONY",Philippines,"JOSEPH VILLAMOR",Philippines,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Plan%20view%20Sophia%20Martina.jpeg
"YUAN LONG",Taiwan,2022,9990222,12161,37094,BH3555,416009187,CT6-1555,Taiwan,Longline,01-Apr-2025,31-Mar-2026,Approved,"Good Standing Foreign","Global Fishery Limited (SI)","Authorised Agent",,CT6-1555,KAOHSIUNG,393.00,Fibreglass,"41.38 Metres",,,"12.00 Knots",28,JAPAN/MITSUBISHI,"101728.00 Kilolitres",1032.00,HP,461.68,"Cubic Metres","Air Coils",R417A,"60.00 Kg",,,,,"Global Fishery Ltd","P.O Box 1872
Honiara
Solomon Islands","Global Fishery Ltd","P.O Box 1872
Honiara
Solomon Islands","TSENG HSIN CHUAN",Taiwan,"TSENG HSIN CHUAN",Taiwan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Vessel%20Pictures2025%20%282%29.jpg
"TAIHO MARU",Japan,2008,9459591,4469,36061,3FSL8,356203000,51220-20-B,Panama,"Fish Carrier/Reefer",31-Mar-2025,30-Mar-2026,Approved,"Good Standing Foreign","Hayama Shipping Ltd","Charterer / Operator",,51220-20-B,PANAMA,3858.00,Steel,"98.28 Metres","88.50 Metres","89.55 Metres","14.00 Knots",20,"MAKITA MITSUI 5L35MC","836.14 Kilolitres",3250.00,KW,4967.70,"Cubic Metres","Air Coils",R22,"755.60 Kg",,D5KS2,LIBERIA,Liberia,"PRINCESS LINE S.A.","C/O Hayama Shipping Ltd
5-19-2 Shinbashi, Minato-Ku
TOKYO 105-0004
Japan","Hayama Shipping Ltd","5-19-2 Shinbashi, Minato-Ku
TOKYO 105-0004
Japan","HANASAN LONARD GUINCHOMA",Philippines,"HANASAN LONARD GUINCHOMA",Philippines,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Compass%20Dk.JPG
"MARIA ERLINDA",Japan,1985,8419544,2271,33924,DUPZ-6,548003100,00-0000554,Philippines,"Fish Carrier/Reefer",30-Mar-2025,29-Mar-2026,Approved,"Good Standing Foreign","Trans-Pacific Journey Fishing Corp.",Owner,,00-0000554,MANILA,1482.00,Steel,"77.84 Metres","75.50 Metres","72.00 Metres","10.00 Knots",27,Akasaka,"350.00 Kilolitres",1342.00,KW,1500.00,"Metric Tonnes",Brine,"Ammonia NH3","1500000.00 Kg",,,,,"Trans-Pacific Journey Fishing Corp.","1094-A North Bay Boulevard
Navotas City, Metro Manilla
Philippines 1485","TRANS-PACIFIC JOURNEY FISHING CORPORATION","1094-A North Bay 
Boulevard, Navotas City, 
Metro Manila
Philippines 1485","ARTURO MAKILAN",Philippines,"ARTURO MAKILAN",Philippines,,https://vessel-register.ffa.int/sites/default/files/vsr_files/33924%20Plan%20view_0.jpeg
"GUANG YUAN YU 338",China,2013,9742352,11155,36598,BZWY47,412460084,(YUE)CHUANDENG(JI)2023FT-200144,China,Longline,29-Mar-2025,28-Mar-2026,Approved,"Good Standing Foreign","Future Electronics Company","Authorised Agent",,(YUE)CHUANDENG(JI)2023FT-200144,GUANGZHOU,277.00,Steel,"36.34 Metres",,,"10.00 Knots",14,WHM6200,"91.52 Kilolitres",540.00,KW,120.00,"Metric Tonnes","Air Coils",R22,"260.00 Kg",,,,,"Guangdong Guangyuan Fishery Group Co., Ltd.","Room 1401, No.644 Tongfu Road East, Guangzhou, P.R. China","Guangdong Guangyuan Fishery Group Co., Ltd.","Room 1401, 
No.644 Tongfu Road East
 Guangzhou,
 P.R. China","CHEN LIUZI",China,"CHEN LIUZI",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/GUANG%20YUAN%20YU%20338%20TOP%20VIEW.jpg
"GUANG YUAN YU 339",China,2013,9742364,11156,36599,BZWY48,412460083,(YUE)CHUANDENG(JI)2023FT-200147,China,Longline,29-Mar-2025,28-Mar-2026,Approved,"Good Standing Foreign","Future Electronics Company","Authorised Agent",,(YUE)CHUANDENG(JI)2023FT-200147,GUANGZHOU,277.00,Steel,"36.34 Metres",,,"10.00 Knots",14,WHM6200,"91.50 Kilolitres",540.00,KW,120.00,"Metric Tonnes","Air Coils",R22,"260.00 Kg",,,,,"Guangdong Guangyuan Fishery Group Co., Ltd.","Room 1401, No.644 Tongfu Road East, Guangzhou, P.R. China","Guangdong Guangyuan Fishery Group Co., Ltd.","Room 1401
No.644 Tongfu Road East
 Guangzhou
P.R. China","LIAO  SHULAN",China,"LIAO  SHULAN",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/GYY339%20PLAN%20%20PHOTO.jpg
"HONG YANG 11",China,2013,8672251,10696,36727,BZU4B,412420871,(ZHE)CHUANDENG(JI)(2021)FT-200132,China,Longline,29-Mar-2025,28-Mar-2026,Approved,"Good Standing Foreign","HuaKe Technology Services (Fiji) LIMITED",Owner,,(ZHE)CHUANDENG(JI)(2021)FT-200132,ZHOUSHAN,460.00,Steel,"41.00 Metres",,"41.00 Metres","11.80 Knots",20,XCW8200ZC,"210.00 Kilolitres",735.00,KW,314.00,"Cubic Metres","Air Coils",R22,"1998.00 Kg",,,,,"ZHOUSHAN HAIXING OCEAN FISHERIES CO.,LTD","Room606,NO.1-6 Shanghui Road,Ganlan Town,Dinghai District,Zhoushan City,ZheJiang P.R.China.","ZHOUSHAN HAIXING OCEAN FISHERIES CO.,LTD","Room 606, NO.1-6 Shanghui Road
Ganlan Town, Dinghai District,
Zhoushan City, ZheJiang P.R. China","WANG YONG BING",China,"WANG YONG BING",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/HONG%20YANG%2011%20Plan.jpg
"ASAHI MARU NO.11",Japan,2016,9816438,11517,36773,7JYQ,431484000,KG1-358,Japan,"Pole and Line",28-Mar-2025,27-Mar-2026,Approved,"Good Standing Foreign","Japan Tuna Fisheries Co-operative Association","Authorised Agent",,KG1-358,MAKURAZAKI,499.00,Steel,"65.45 Metres","56.77 Metres","56.87 Metres","12.80 Knots",30,"HANSHIN LA28ARG","348.73 Kilolitres",1471.00,KW,674.80,"Cubic Metres",Brine,"R717 (Ammonia)","618.07 Kg",,,,,"ASAHI GYOGYO KABUSHIKI KAISHA","126 ORIGUCHICHO,MAKURAZAKI-SHI,KAGOSHIMA-KEN,JAPAN","ASAHI GYOGYO KABUSHIKI KAISHA","126 ORIGUCHICHO,
MAKURAZAKI-SHI,
KAGOSHIMA-KEN,
JAPAN","Kuroiwa,Yutaro",Japan,"Kunihiro Karasuyama",Japan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Photo2-Asahi%2011_0.jpg
"B. SKY",China,2010,9381627,9940,36112,3E8350,577201000,58717-PEXT-1,Panama,Bunker,28-Mar-2025,27-Mar-2026,Approved,"Good Standing Foreign","SK B&T PTE., Ltd","Charterer / Operator","No longer listed on RFV",58717-PEXT-1,PANAMA,4029.00,Steel,"98.12 Metres","98.00 Metres","105.50 Metres","10.95 Knots",18,"WARTSILA 6L32","6120.00 Kilolitres",3000.00,KW,0.00,"Metric Tonnes",,,,,YJTN7,4146,Vanuatu,"Sky Marine Holding Co., Ltd","Trust Company Complex, Ajeltake Road, Ajeltake Island, Majuro,
Marshall Islands MH96960","SK B&T","21F, SEOUL SQUARE, 416, HANGANG-DAERO,
JUNG-GU, SEOUL, REPUBLIC OF KOREA","O Seong-og","Korea, Republic of","O Seong-og","Korea, Republic of",,https://vessel-register.ffa.int/sites/default/files/vsr_files/B.%20SKY%20PLAN%20VIEW.jpeg_0.jpg
"LIAN JYI HSING",Japan,1972,7234210,4037,36630,BI2037,416730000,CT7-0037,Taiwan,"Fish Carrier/Reefer",27-Mar-2025,26-Mar-2026,Approved,"Good Standing Foreign","Ming Dar Fishery Co., Ltd","Authorised Agent",,CT7-0037,KAOHSIUNG,995.00,Steel,"71.40 Metres","64.00 Metres","64.00 Metres","15.00 Knots",35,"Akasaka K28SFD","350.11 Kilolitres",1617.00,KW,850.00,"Metric Tonnes","Air Coils","R717 (Ammonia)","2400.00 Kg",,,,,"Lian Jyi Hsing Marine Products Co., Ltd.","1F No.58, Fengdeng Street, SiaoKang District Kaohsiung City Taiwan","Lian Jyi Hsing Marine Products Co., Ltd.","1F No.58, Fengdeng Street
SiaoKang District
 Kaohsiung City
Taiwan","YAO, CHING FA",Taiwan,"YAO, CHING FA",Taiwan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/%E5%9C%8B%E9%9A%9B%E5%91%BC%E8%99%9F.jpg
"BEN 10",China,2001,8988832,9689,35257,3DSS,520117000,000802,Fiji,Longline,27-Mar-2025,26-Mar-2026,Approved,"Good Standing Foreign","Future Electronics Company","Authorised Agent",,000802,"SUVA MUA-I-WALU WHARF",144.00,Steel,"34.00 Metres",,,"9.00 Knots",13,"JINAN DIESEL","98.00 Kilolitres",330.00,KW,44.00,"Metric Tonnes","Air Coils",R22,"260.00 Kg",,,,,"Services Marine Ltd","P.O. Box 16928, Suva, Fiji","Services Marine Ltd","P.O. Box 1692
Suva
Fiji","SHI CHUN HO",China,"SHI CHUN HO",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/BEN%2010%20TOP%20VIEW%20PHOT.jpg
"RISING NO. 28",China,2012,9657612,10175,36272,3DQI,520234000,001126,Fiji,Longline,26-Mar-2025,25-Mar-2026,Approved,"Good Standing Foreign","Sunshine Fisheries Pte Ltd","Authorised Agent",,001126,"SUVA MUA-I-WALU WHARF",199.00,Steel,"42.60 Metres","37.00 Metres","42.60 Metres","11.50 Knots",15,CW6200ZL,"140.00 Kilolitres",396.00,KW,90.00,"Metric Tonnes","Air Coils",R22,"227.00 Kg",,,,,"Rising Fisheries Pte Ltd","P O Box 16386, Suva","SUNSHINE FISHERIES PTE LTD","P. O. BOX 16386,
SUVA
FIJI","Huang Guangrong",China,"Huang Guangrong",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Rising%2028-2.jpg
"RISING NO. 16",China,2012,9657583,10176,36269,3DQC,520231000,001123,Fiji,Longline,24-Mar-2025,23-Mar-2026,Approved,"Good Standing Foreign","Sunshine Fisheries Pte Ltd","Authorised Agent",,001123,"SUVA MUA-I-WALU WHARF",199.00,Steel,"42.60 Metres","37.00 Metres","42.60 Metres","11.50 Knots",15,CW6200ZL,"140.00 Kilolitres",396.00,KW,90.00,"Metric Tonnes","Air Coils",R22,"227.00 Kg",,,,,"Rising Fisheries Pte Ltd","P O Box 16386, Suva","SUNSHINE FISHERIES PTE LTD","P. O. Box 16386
Suva
Fiji","Zheng Shiming",China,"Zheng Shiming",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Rising%2016-3.jpg
HARU,Japan,2001,9241932,9240,35852,3EHZ8,422802320,47531-16-B,Panama,"Fish Carrier/Reefer",24-Mar-2025,23-Mar-2026,Approved,"Good Standing Foreign","World Fish Enterprise Co. Ltd",Owner,,47531-16-B,PANAMA,4521.00,Steel,"120.75 Metres","112.90 Metres","113.37 Metres","14.50 Knots",24,MAKITA,"1277.00 Kilolitres",4070.00,KW,5735.00,"Cubic Metres","Air Coils",R22,"400.00 Kg",,,2166,,"WORLD FISH ENTERPRISE CO.,LTD","No.75, Yu Kang Central, 2nd Rd Kaohsiung City
Taiwan R.O.C","WORLD FISH ENTERPRISE CO.,LTD","No.75, Yu Kang Central, 2nd Rd 
Kaohsiung City
Taiwan R.O.C","Liang Chun En",Taiwan,"Liang Chun En",Taiwan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/HARU-4.jpg
"KAI DE",Japan,1985,8421286,9983,36145,H3XA,371790000,42604-11-CH,Panama,"Fish Carrier/Reefer",24-Mar-2025,23-Mar-2026,Approved,"Good Standing Foreign","ORIENT GLORY SHIPPING LIMITED",Owner,,42604-11-CH,PANAMA,4202.00,Steel,"107.96 Metres",,"100.98 Metres","13.00 Knots",22,B&W7L35MC,"795.00 Kilolitres",3550.00,KW,5395.00,"Cubic Metres","Air Coils",R22,,,,,,"ORIENT GLORY SHIPPING LIMITED","ROOM 1002 10/F EASEY COMMERCIAL BUILDING 253-261 HENNESSY ROAD WANCHAI HK,","Orient Glory Shipping Limited","Room 10012 10/F Easey Commercial Building
253-261 Hennessy Road
Wanchai Hong Kong","TASMAN RUPA",Indonesia,,,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Kai%20De%20full%20length%20picture.jpg
PINGTAIRONG25,China,2011,9655066,10150,36277,BZ3VT,412420583,(ZHE)CHUANDENG(JI)(2021)FT-200045,China,Longline,24-Mar-2025,23-Mar-2026,Approved,"Good Standing Foreign","PINGTAIRONG OCEAN FISHERY GROUP CO.,LTD.",Owner,,(ZHE)CHUANDENG(JI)(2021)FT-200045,ZHOUSHAN,394.00,Steel,"44.80 Metres","39.00 Metres","40.13 Metres","11.00 Knots",18,XCW6200ZC,"145.72 Kilolitres",698.00,KW,376.30,"Cubic Metres","Air Coils",R22,"3000.00 Kg",,,,,"PINGTAIRONG OCEAN FISHERY GROUP CO.,LTD.","FLOOR 10-11TH, PUTUO MARINE & FISHERIES BUILDING, NO.9 WEST DONGHAI RD., SHENJIAMEN STREET, PUTUO DISTRICT, ZHOUSHAN CITY","PINGTAIRONG OCEAN FISHERY GROUP CO.,LTD.","Floor 10th, Putuo Marine & Fisheries Building
Putuo District, Zhoushan City
Zhejiang, China","TANG GUO HAN",China,"TANG GUO HAN",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/PTR25%20Photos%203.jpg
"GUANG YUAN YU 336",China,2018,9875745,11782,36869,BZXF8,412483615,(YUE)CHUANDENG(JI)2023FT-200094,China,Longline,23-Mar-2025,22-Mar-2026,Approved,"Good Standing Foreign","Future Electronics Company","Authorised Agent",,(YUE)CHUANDENG(JI)2023FT-200094,GUANGZHOU,282.00,Steel,"36.24 Metres",,,"10.00 Knots",14,WHM6200,"91.52 Kilolitres",560.00,KW,215.00,"Cubic Metres","Air Coils",R22,"260.00 Kg",,,,,"Guangdong Guangyuan Fishery Group Co., Ltd.","Room 1401,No.644 Tongfu Road East, Guangzhou, China","Guangdong Guangyuan Fishery Group Co., Ltd.","Room 1401,
No.644 Tongfu Road East,
Guangzhou
China","ZHENG FU",China,"ZHENG FU",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/GUANG%20YUAN%20YU%20336%20BIRD%20VIEW%20PHOTO.jpg
"SHUN TIAN FA NO.168",Japan,1973,7323401,4039,33566,BZEJ,416602000,CT8-0020,Taiwan,"Fish Carrier/Reefer",23-Mar-2025,22-Mar-2026,Approved,"Good Standing Foreign","Ming Dar Fishery Co., Ltd","Authorised Agent",,CT8-0020,KAOHSIUNG,1095.00,Steel,"76.80 Metres","70.00 Metres","70.00 Metres","14.37 Knots",52,MA29GSC-3,"620.00 Kilolitres",2700.00,HP,2293.00,"Cubic Metres","Air Coils",R22,"270.00 Kg",,,,,"Hon Shun Fishery Co., Ltd.","No.11, Lane 82 Sungfu Street, Siaogang District Kaohsiung City Taiwan","HON SHUN FISHERY CO., LTD","No.11, Lane 82 Sungfu Street
Siaogang District 
Kaohsiung City
Taiwan","HSU ,FU-CHIEN",Taiwan,"HSU ,FU-CHIEN",Taiwan,,https://vessel-register.ffa.int/sites/default/files/vsr_files/SHUN%20TIAN%20FA%20NO.168-CALL%20SIGN-2025.01.25.jpg
